user_id,user_email,user_phone,first_name,last_name,province,city,product_name,product_avg_score,product_categories,size,color,buy_price,sell_price,weight,can_sale,total_stock,order_id,order_status,payment_method,order_total_price,order_discount,order_tax,order_shipping_price,order_final_price,order_created_at,order_paid_at,order_shipped_at,order_tracking_code,order_item_quantity,order_item_price,order_item_discount,order_item_total_price,user_rating,rating_date
4,bnymyn13@example.net,09245093480,حسام,لاهوتی,ایلام,بندر محمدياسين,محصول 42,2.75,"اکسسوری, شال, کمربند",XXL,سفید,276174.84478557575,2122922.8331404803,4.093608015868206,False,76,1,delivered,wallet,6332018.35,80184.40,36998.55,72827.38,6361659.88,2025-05-30 18:37:32.459985+00:00,,,,10,2122922.83,31619.24,21197609.06,5,2025-05-30 18:37:50.957666+00:00
41,hsty60@example.net,09228483726,زهرا,ظفری,کرمان,استان محمدعلي,محصول 18,2.95,"جوراب, روسری, کمربند",L,نقره‌ای,3111165.918779367,8552524.91936221,6.360557568362814,False,27,2,pending,wallet,315348.39,77296.61,47199.85,88531.35,373782.98,2025-05-30 18:37:32.468926+00:00,,,,3,8552524.92,11456.11,25646118.65,4,2025-05-30 18:37:45.737953+00:00
41,hsty60@example.net,09228483726,زهرا,ظفری,کرمان,استان محمدعلي,محصول 40,3.12,"جوراب, دستکش, روسری",L,نارنجی,750532.943076,3288701.1206012736,9.065015483741805,True,28,2,pending,wallet,315348.39,77296.61,47199.85,88531.35,373782.98,2025-05-30 18:37:32.468926+00:00,,,,10,3288701.12,1787.22,32885223.98,5,2025-05-30 18:37:43.848914+00:00
41,hsty60@example.net,09228483726,زهرا,ظفری,کرمان,استان محمدعلي,محصول 38,2.68,"پوشاک, شال",XXXL,بنفش,4905566.132767373,6723268.226984331,2.9860911278908007,True,68,2,pending,wallet,315348.39,77296.61,47199.85,88531.35,373782.98,2025-05-30 18:37:32.468926+00:00,,,,9,6723268.23,8225.76,60501188.31,,
3,pshkhry@example.net,09998308011,یوسف,روحانی,اردبیل,جنوب آیناز,محصول 7,3.05,"پوشاک, ساعت",41,قهوه‌ای,3852216.6799812233,3314242.5457357946,1.7170057918873247,True,23,3,pending,cash,9461960.00,83376.41,38867.99,28023.73,9445475.31,2025-05-30 18:37:32.474490+00:00,,,,5,3314242.55,37173.74,16534039.01,4,2025-05-30 18:37:51.342720+00:00
3,pshkhry@example.net,09998308011,یوسف,روحانی,اردبیل,جنوب آیناز,محصول 9,3.18,"دستکش, ساعت, شال",42,نارنجی,598417.515971998,7126610.971398576,3.715165029479722,False,43,3,pending,cash,9461960.00,83376.41,38867.99,28023.73,9445475.31,2025-05-30 18:37:32.474490+00:00,,,,1,7126610.97,26734.49,7099876.48,,
3,pshkhry@example.net,09998308011,یوسف,روحانی,اردبیل,جنوب آیناز,محصول 28,3.12,"اکسسوری, شال",L,صورتی,407916.01199622854,8575591.34751444,2.4055704822416804,False,100,3,pending,cash,9461960.00,83376.41,38867.99,28023.73,9445475.31,2025-05-30 18:37:32.474490+00:00,,,,1,8575591.35,17199.58,8558391.77,,
3,pshkhry@example.net,09998308011,یوسف,روحانی,اردبیل,جنوب آیناز,محصول 31,2.63,"پوشاک, جوراب, ساعت",45,قهوه‌ای,1477181.637249831,4540788.104158025,9.331061175605715,True,82,3,pending,cash,9461960.00,83376.41,38867.99,28023.73,9445475.31,2025-05-30 18:37:32.474490+00:00,,,,1,4540788.10,24673.65,4516114.45,,
3,pshkhry@example.net,09998308011,یوسف,روحانی,اردبیل,جنوب آیناز,محصول 28,3.12,"اکسسوری, شال",L,صورتی,407916.01199622854,8575591.34751444,2.4055704822416804,False,100,3,pending,cash,9461960.00,83376.41,38867.99,28023.73,9445475.31,2025-05-30 18:37:32.474490+00:00,,,,10,8575591.35,32141.04,85723772.46,,
3,pshkhry@example.net,09998308011,یوسف,روحانی,اردبیل,جنوب آیناز,محصول 39,3.19,"جوراب, دستکش, روسری",L,سفید,1330695.6838037774,9012246.30407509,1.4892866709941746,False,28,3,pending,cash,9461960.00,83376.41,38867.99,28023.73,9445475.31,2025-05-30 18:37:32.474490+00:00,,,,6,9012246.30,13793.87,54059683.93,5,2025-05-30 18:37:46.987361+00:00
10,mhmdlyhnry@example.org,09845684365,كیانا,کابلی,مرکزی,شمال عباس,محصول 44,2.6,دستکش,M,سفید,4769021.966652412,8990041.060965054,0.2720378088149046,True,32,4,paid,wallet,3402304.44,57554.45,34189.90,82172.17,3461112.06,2025-05-30 18:37:32.481851+00:00,,,,3,8990041.06,18785.02,26951338.16,3,2025-05-30 18:37:45.197091+00:00
